x,y,z,u,v,w,p,speed
0.0769231,0.538462,0,-6.44473e-36,-1.00085e-34,-1.29053e-36,0.0210685,1.00301e-34
0.153846,0.538462,0,-1.7021e-35,-1.50401e-34,-4.17268e-38,0.020214,1.51361e-34
0.230769,0.538462,0,-3.17388e-35,-1.97513e-34,1.40801e-36,0.0212966,2.00052e-34
0.307692,0.538462,0,-5.00302e-35,-2.49172e-34,2.8934e-36,0.0251041,2.54162e-34
0.384615,0.538462,0,-7.12633e-35,-3.0684e-34,4.52619e-36,0.0321383,3.15039e-34
0.461538,0.538462,0,-9.39769e-35,-3.65658e-34,6.28106e-36,0.0429305,3.77594e-34
0.538462,0.538462,0,-1.14844e-34,-4.11185e-34,8.32284e-36,0.0574896,4.27003e-34
0.615385,0.538462,0,-1.27943e-34,-4.12559e-34,1.055e-35,0.0753493,4.32072e-34
0.692308,0.538462,0,-1.25329e-34,-3.09807e-34,1.07354e-35,0.0969814,3.3437e-34
0.769231,0.538462,0,-1.00334e-34,1.79632e-35,9.44572e-36,0.117289,1.02366e-34
0.846154,0.538462,0,-5.5656e-35,8.75545e-34,9.81962e-36,0.126976,8.77367e-34
0.923077,0.538462,0,-1.52218e-35,1.24335e-33,4.40047e-36,0.128358,1.24346e-33
1,0.538462,0,-2.71461e-35,9,-2.14952e-35,0.116325,9
0,0.615385,0,9.32044e-37,-3.25443e-37,1.92633e-36,0.0625793,2.16458e-36
0.0769231,0.615385,0,-1.31259e-35,-8.59156e-35,-2.34449e-36,0.0590587,8.69441e-35
0.153846,0.615385,0,-3.51303e-35,-1.30205e-34,-8.87955e-38,0.0570949,1.34861e-34
0.230769,0.615385,0,-6.60248e-35,-1.72423e-34,1.76479e-36,0.061241,1.8464e-34
0.307692,0.615385,0,-1.0495e-34,-2.19542e-34,3.46734e-36,0.0735631,2.43362e-34
0.384615,0.615385,0,-1.5107e-34,-2.73752e-34,5.3801e-36,0.0955582,3.12716e-34
0.461538,0.615385,0,-2.02035e-34,-3.3234e-34,7.614e-36,0.128925,3.89006e-34
0.538462,0.615385,0,-2.51691e-34,-3.84793e-34,1.04696e-35,0.174645,4.59917e-34
0.615385,0.615385,0,-2.88392e-34,-4.05521e-34,1.24183e-35,0.233902,4.97767e-34
0.692308,0.615385,0,-2.92606e-34,-3.37693e-34,1.57487e-35,0.299479,4.47105e-34
0.769231,0.615385,0,-2.44156e-34,-5.33272e-35,2.40814e-35,0.355546,2.51069e-34
0.846154,0.615385,0,-1.41649e-34,7.75497e-34,2.66856e-35,0.395403,7.88779e-34
0.923077,0.615385,0,-4.03565e-35,1.17491e-33,8.45434e-36,0.411531,1.17563e-33
1,0.615385,0,-3.69026e-35,9,-1.73775e-35,0.366244,9
0,0.692308,0,-9.0196e-37,-2.95357e-37,4.29098e-37,0.0938048,1.04158e-36
0.0769231,0.692308,0,-1.74455e-35,-6.38301e-35,-2.64894e-36,0.0886448,6.62241e-35
0.153846,0.692308,0,-4.72143e-35,-9.84858e-35,3.47991e-37,0.0859967,1.09219e-34
0.230769,0.692308,0,-8.97568e-35,-1.32358e-34,2.42501e-36,0.0929342,1.5994e-34
0.307692,0.692308,0,-1.44601e-34,-1.71097e-34,4.29341e-36,0.112748,2.24058e-34
0.384615,0.692308,0,-2.11657e-34,-2.17701e-34,6.59115e-36,0.148197,3.03704e-34
0.461538,0.692308,0,-2.89598e-34,-2.72462e-34,9.05841e-36,0.203434,3.97724e-34
0.538462,0.692308,0,-3.72529e-34,-3.30854e-34,1.28575e-35,0.28097,4.98405e-34
0.615385,0.692308,0,-4.46839e-34,-3.76738e-34,1.77444e-35,0.383216,5.84732e-34
0.692308,0.692308,0,-4.81552e-34,-3.65165e-34,3.14945e-35,0.498623,6.05169e-34
0.769231,0.692308,0,-4.396e-34,-1.71892e-34,2.94127e-35,0.638865,4.72927e-34
0.846154,0.692308,0,-2.8144e-34,5.73052e-34,2.35263e-35,0.752617,6.38866e-34
0.923077,0.692308,0,-8.72275e-35,1.03301e-33,2.02917e-35,0.770878,1.03689e-33
1,0.692308,0,-9.01934e-35,9,1.16941e-35,0.628531,9
0,0.769231,0,-2.2852e-36,-7.03438e-37,-8.67707e-37,0.112266,2.54359e-36
0.0769231,0.769231,0,-1.81237e-35,-3.86467e-35,-2.02124e-36,0.106292,4.27331e-35
0.153846,0.769231,0,-5.00197e-35,-6.15954e-35,1.30543e-36,0.10347,7.93579e-35
0.230769,0.769231,0,-9.69271e-35,-8.45165e-35,3.41665e-36,0.112457,1.28645e-34
0.307692,0.769231,0,-1.59202e-34,-1.1135e-34,5.43685e-36,0.137696,1.94354e-34
0.384615,0.769231,0,-2.38243e-34,-1.45332e-34,7.89194e-36,0.183873,2.79183e-34
0.461538,0.769231,0,-3.35476e-34,-1.89024e-34,1.04212e-35,0.25795,3.85205e-34
0.538462,0.769231,0,-4.49038e-34,-2.43655e-34,1.64437e-35,0.364161,5.11149e-34
0.615385,0.769231,0,-5.71796e-34,-3.06508e-34,2.07567e-35,0.517523,6.49099e-34
0.692308,0.769231,0,-6.73874e-34,-3.57478e-34,3.24787e-35,0.71472,7.63513e-34
0.769231,0.769231,0,-7.05519e-34,-2.97708e-34,2.38379e-35,0.979094,7.6613e-34
0.846154,0.769231,0,-5.12953e-34,2.83905e-34,1.45969e-34,1.09345,6.04177e-34
0.923077,0.769231,0,-1.8344e-34,7.92451e-34,1.08376e-34,1.2594,8.20594e-34
1,0.769231,0,-1.04972e-34,9,-1.60908e-35,1.15223,9
0,0.846154,0,-2.42461e-36,-1.24122e-36,-1.29156e-36,0.11667,3.01454e-36
0.0769231,0.846154,0,-1.41837e-35,-1.64921e-35,-2.2246e-37,0.111086,2.17536e-35
0.153846,0.846154,0,-4.09946e-35,-2.77955e-35,2.86564e-36,0.108464,4.96121e-35
0.230769,0.846154,0,-8.22268e-35,-3.90588e-35,5.02858e-36,0.11793,9.11708e-35
0.307692,0.846154,0,-1.3872e-34,-5.24542e-35,7.35244e-36,0.145277,1.48488e-34
0.384615,0.846154,0,-2.12996e-34,-7.03112e-35,1.00053e-35,0.197274,2.24524e-34
0.461538,0.846154,0,-3.08972e-34,-9.51749e-35,1.35402e-35,0.282589,3.23582e-34
0.538462,0.846154,0,-4.31426e-34,-1.30586e-34,1.99556e-35,0.41218,4.51197e-34
0.615385,0.846154,0,-5.86896e-34,-1.82136e-34,2.22355e-35,0.612765,6.1491e-34
0.692308,0.846154,0,-7.62777e-34,-2.48919e-34,6.25877e-35,0.865273,8.04802e-34
